Date & Time,Download Speed (Mbps),Upload Speed (Mbps)
2024-11-13 13:52:38,10.105912707645652,1.8674643145186298
2024-11-13 13:53:10,16.75015548682204,1.8824873533928161
2024-11-13 13:53:40,41.52934805243811,1.6698788583133215
2024-11-13 13:55:21,33.25564519432949,1.6075431664389859
2024-11-13 13:55:49,35.162305740592195,1.719515249342661
2024-11-13 14:13:41,38.79838997564897,1.9596034163576637
2024-11-13 14:22:18,61.8460414420082,1.8513256487413188
2024-11-13 14:37:50,52.662044875393875,1.728157347631893
2024-11-13 14:39:46,29.359878108719574,1.373414831765183
2024-11-13 14:52:08,70.99705260250518,1.8029134541916871
2024-11-13 14:59:50,72.06147331451879,1.1464344727123703
2024-11-13 15:04:41,38.14507816256439,2.0650523829637457
2024-11-13 15:22:08,14.96571991414905,4.125111190073057
2024-11-13 15:26:08,11.966079238039313,2.0320913497673785
2024-11-13 19:32:47,255.93781308011245,40.70914309361539
2024-11-13 19:33:21,240.32282397032898,40.58206790708939
2024-11-14 10:15:41,191.39413467043298,39.80723256967351
2024-11-14 12:59:33,6.140525021073066,1.6648816561276387
2024-11-14 13:12:39,5.773018567540807,1.4586154705658192
